25.69,21.95,-18.457
21.724,40.697,-18.527
44.635,39.534,-12.644
7.9047,65.069,-12.16
6.1552,48.251,-11.297
5.2182,28.1,-22.051
46.851,29.911,3.3337
46.727,14.607,13.783
36.547,35.406,27.696
30.052,54.95,2.7682
9.1383,52.384,16.357
12.299,37.037,42.731
8.4832,9.9677,53.078
20.489,4.554,60.62
35.765,12.773,45.208
53.151,3.4716,15.888
45.568,-6.9057,42.74
24.256,-19.12,62.619
7.6183,-28.492,55.21
4.8245,37.656,1.7409
4.5699,21.558,26.737
5.2181,-16.854,38.045
6.7306,-45.306,18.061
56.779,-11.224,21.055
36.133,-27.845,56.894
50.911,-40.04,35.961
52.977,-28.74,28.063
26.149,-46.332,56.398
22.539,-61.376,55.551
20.502,-77.871,35.539
47.329,-53.112,34.182
40.057,-69.303,35.607
43.613,-69.432,16.017
12.333,-60.857,23.338
7.0426,-54.255,49.118
6.2452,-80.472,19.866
12.477,-80.284,6.3739
22.661,-95.458,9.9606
30.929,-89.595,-9.0763
46.31,-73.905,-2.5815
9.5964,-78.97,-6.8806
18.986,-55.512,-2.639
34.312,-63.752,-15.004
36.279,-27.721,-26.91
26.019,-32.587,-19.479
23.417,-7.7688,-35.081
30.476,14.608,-36.283
48.88,-14.247,-35.874
53.681,-50.088,-17.587
59.344,-45.615,-3.9328
58.526,-9.6449,-23.927
52.834,-40.641,5.3948
58.916,-22.095,1.9204
49.225,3.1102,-15.27
44.799,-20.596,8.6386
38.196,-12.685,8.4996
38.437,8.9352,-7.7962
-29.127,22.253,-16.007
-18.926,39.31,-19.598
-43,38.881,-14.588
-6.2749,65.614,-11.412
-5.2178,36.768,-18.542
-44.408,30.738,0.91322
-46.023,14.98,12.358
-34.341,32.661,30.22
-34.285,45.548,18.045
-29.378,55.602,-2.3712
-8.9266,54.486,12.193
-8.8711,42.432,35.827
-18.1,24.037,49.682
-9.7931,1.8702,58.374
-35.692,11.237,44.738
-17.379,-21.522,65.337
-36.165,-17.833,57.583
-46.061,-7.8955,40.607
-52.824,2.4173,17.437
-7.6546,-29.755,55.664
-3.7578,37.791,0.054981
-4.4078,20.126,27.66
-5.1565,-18.086,37.582
-5.9695,-45.917,18.601
-21.966,-33.85,67.012
-42.996,-26.967,52.679
-56.455,-14.939,25.791
-52.773,-28.596,24.188
-51.97,-45.151,35.576
-27.818,-47.064,57.419
-24.979,-59.348,51.053
-18.251,-78.451,36.016
-41.528,-75.529,18.214
-41.086,-63.858,34.626
-8.6092,-48.824,51.828
-9.6807,-64.034,27.183
-6.1853,-79.466,19.029
-12.123,-81.531,5.7151
-17.813,-98.213,2.1084
-37.801,-82.929,-3.8644
-10.576,-80.058,-8.2339
-16.624,-58.005,-3.003
-36.957,-63.59,-16.57
-33.807,-29.64,-25.948
-24.998,-32.777,-20.673
-23.824,-8.8899,-35.523
-28.367,12.975,-38.923
-47.996,-16.609,-35.828
-52.133,-51.082,-16.709
-59.547,-49.865,-3.5654
-57.953,-13.517,-21.672
-54.232,-44.249,3.8763
-55.802,-33.577,10.203
-52.384,-5.4989,-11.082
-44.324,-23.01,7.8657
-38.111,-14.549,6.1149
-35.976,11.831,-2.475
